issue_id,comment_id,user_id,login,name,location,gender
352750519,352750519,2741,dhh,David Heinemeier Hansson,,male
352750519,414870475,14361073,shalvah,Shalvah,Germany,male
352750519,414873068,10137,ghost,Deleted user,"Nothing to see here, move along.",unknown
352750519,414873738,2741,dhh,David Heinemeier Hansson,,male
352750519,414875618,201135,glaszig,,remote,unknown
352750519,414877006,905505,Alamoz,Adrien Lamothe,,female
352750519,414886139,19339870,minaslater,Mina Slater,"Chicago, IL",female
352750519,414893315,396486,cbarton,Chris Barton,"San Francisco, CA",male
352750519,414893935,526479,justizin,Justin Alan Ryan,"San Francisco, CA",male
352750519,415013013,396486,cbarton,Chris Barton,"San Francisco, CA",male
352750519,415040253,8125356,9jaswag,Chuks Opia,"Lagos, Nigeria",male
352750519,482582749,47848,rafaelfranca,Rafael Mendonça França,"Ottawa, ON",male
503451343,503451343,6510020,AlexWayfer,Alexander Popov,Moscow,male
503451343,539187469,2687,radar,Ryan Bigg,"Warrnambool (Outer outer western Melbourne),  Australia",male
503451343,539191928,6510020,AlexWayfer,Alexander Popov,Moscow,male
503451343,539210257,2687,radar,Ryan Bigg,"Warrnambool (Outer outer western Melbourne),  Australia",male
503451343,539236511,6510020,AlexWayfer,Alexander Popov,Moscow,male
503451343,539239864,2687,radar,Ryan Bigg,"Warrnambool (Outer outer western Melbourne),  Australia",male
503451343,539432465,6510020,AlexWayfer,Alexander Popov,Moscow,male
305814776,305814776,37433469,Thebaconduke,Darcy Chandler,,female
305814776,373737684,8207,flavorjones,Mike Dalessio,New York City / New Jersey,male
305814776,375953557,37433469,Thebaconduke,Darcy Chandler,,female
286791320,286791320,4162281,SimonHoenscheid,Simon Hönscheid,"Berlin, DE",male
286791320,356673546,10075337,francesco-loreti,Francesco Loreti,,male
286791320,357411525,14236367,Lighted8888,Lighted,Nigeria,unknown
286791320,357495804,24515337,McRaeAlex,Alexander McRae,"Vancouver, Canada",male
286791320,357499822,1104431,richpeck,Richard Peck,United Kingdom,male
286791320,357632186,5774448,Shekharrajak,Shekhar Prasad Rajak,Hyderabad,male
286791320,357677494,3650296,fera2k,Fernando Vieira,"Goiânia, Brazil",male
286791320,358909080,7992264,leehanslim,Lee,Philippines,male
286791320,358927731,4162281,SimonHoenscheid,Simon Hönscheid,"Berlin, DE",male
286791320,359342644,1590359,tchikuba,Tsutomu Chikuba,"tokyo, japan",male
286791320,359778086,10075337,francesco-loreti,Francesco Loreti,,male
286791320,359783631,4162281,SimonHoenscheid,Simon Hönscheid,"Berlin, DE",male
